MASS-2275,42.3947622715,-71.1271110701
MASS-2273,42.3947118237,-71.127073496
MASS-2271,42.3946738594,-71.1270099156
MASS-2279,42.3949061102,-71.1273086323
MASS-2281,42.3949700039,-71.1273419997
MASS-2283,42.395015475,-71.1273935047
MASS-2303,42.3952669651,-71.1276766365
MASS-2331,42.3959484842,-71.1284465273
MASS-2333,42.3959901162,-71.1285116987
MASS-2329,42.3958939478,-71.1284045699
MASS-2327,42.3958546234,-71.1283402181
MASS-2325,42.3958123593,-71.1282917286
MASS-2335,42.3961104666,-71.1286635367
MASS-2337,42.3961670033,-71.12868762
MASS-2423,42.3978909648,-71.1306556399
MASS-2409,42.3975832936,-71.1302900505
MASS-2411,42.3976192838,-71.1303504264
MASS-2413,42.3976609104,-71.1303972009
MASS-2415,42.3977113132,-71.1304339282
MASS-2417,42.3977484557,-71.1304942791
MASS-2419,42.3977923129,-71.1305435397
MASS-2421,42.3978414323,-71.1305993411
MASS-2425,42.3979430375,-71.1306954121
MASS-2431,42.398124705,-71.1309255176
MASS-2429,42.398085735,-71.1308599937
MASS-2427,42.3980413343,-71.1308080887
MASS-2435,42.3983002473,-71.1311410733
MASS-2433,42.3982637897,-71.1310759972
MASS-2453,42.3987011067,-71.131618991
MASS-2455,42.398743752,-71.131671259
MASS-2451,42.3986585037,-71.1315670745
MASS-2408,42.3972781464,-71.1302234374
MASS-2406,42.3972321662,-71.1301710985
MASS-2404,42.3971908435,-71.1301250076
MASS-2402,42.397149383,-71.130078751
MASS-2400,42.3971050721,-71.1300292717
MASS-2390,42.3968824513,-71.1297832154
MASS-2388,42.3968358214,-71.1297294371
MASS-2386,42.3967771957,-71.12966155
MASS-2384,42.3967394765,-71.1296182708
MASS-2382,42.3966951912,-71.1295682737
MASS-2362,42.3964539531,-71.1293143887
MASS-2364,42.39649905,-71.1293649915
MASS-2360,42.3964071078,-71.1292619452
MASS-2358,42.3963604003,-71.1292097231
MASS-2352,42.3962126161,-71.1290427361
MASS-2350,42.3961706839,-71.1289950029
MASS-2348,42.3961253774,-71.1289432912
MASS-2324,42.395725001,-71.1285122939
MASS-2312,42.3954275243,-71.1281574961
MASS-2314,42.3954799322,-71.1282158101
MASS-2316,42.3955307871,-71.1282733558
MASS-2300,42.3951591385,-71.1278551364
MASS-2298,42.3951148961,-71.1278059375
MASS-2296,42.3950671413,-71.127752502
MASS-2294,42.3950150059,-71.1276936688
MASS-2288,42.3947943881,-71.1274449146
MASS-2286,42.3947504463,-71.1273953998
MASS-2284,42.3947074949,-71.1273466382
MASS-2238,42.3939534585,-71.1265055508
MASS-2236,42.3938243596,-71.1263604003
MASS-2234,42.3937806141,-71.1263123482
MASS-2212,42.3934687506,-71.1259614511
MASS-2210,42.3933500503,-71.1258287909
MASS-2208,42.3932990038,-71.1257717684
MASS-2206,42.3931827652,-71.1256409453
MASS-2204,42.3931413285,-71.1255941206
MASS-2202,42.3930946727,-71.1255414408
MASS-2162,42.3925219968,-71.1248997589
MASS-2132,42.3920747576,-71.1243954599
MASS-2130,42.3920299191,-71.1243448626
MASS-2128,42.3919781381,-71.1242858664
MASS-2126,42.3919232153,-71.1242226874
MASS-2124,42.3918630621,-71.1241712374
MASS-2122,42.3918192893,-71.1240982935
MASS-1994,42.3903452059,-71.1212694489
MASS-1996,42.390382678,-71.1213325432
MASS-1998,42.3904202166,-71.1213992094
MASS-2000,42.390455118,-71.1214650215
MASS-2024,42.3905826338,-71.1217276214
MASS-2026,42.3906437686,-71.1218644993
MASS-2028,42.3906741767,-71.1219325044
MASS-2030,42.390706643,-71.1220047172
MASS-2032,42.3907387487,-71.1220757847
MASS-2034,42.3907689195,-71.1221425698
MASS-2036,42.3907971415,-71.122205054
MASS-1848,42.3880043634,-71.119466913
MASS-1846,42.387923819,-71.1194443366
MASS-1833,42.3877763592,-71.1191600514
MASS-1835,42.3878302748,-71.1191750699
MASS-1844,42.3877711344,-71.1194013543
MASS-1831,42.3875558161,-71.1191136476
MASS-1829,42.3875006708,-71.1190836451
MASS-1840,42.3875799564,-71.1193477213
MASS-1842,42.3876345029,-71.1193626621
MASS-1811,42.3869886291,-71.1190506764
MASS-1813,42.3870215532,-71.1190492751
MASS-1815,42.387072074,-71.1190334796
MASS-1817,42.3871257069,-71.1190335081
MASS-1819,42.3871771365,-71.1190352711
MASS-1821,42.3872335799,-71.1190388362
MASS-1823,42.3872894056,-71.1190588401
MASS-1825,42.3873442889,-71.1190511803
MASS-1827,42.3873977461,-71.1190603158
MASS-1812,42.3869129644,-71.119296102
MASS-1808,42.3867033336,-71.1193174451
MASS-1810,42.3867499259,-71.1193127227
MASS-1798,42.3863181531,-71.1193600737
MASS-1800,42.3863468471,-71.1193573654
MASS-1802,42.386436742,-71.1193488845
MASS-1804,42.3864812505,-71.1193446744
MASS-1785,42.386210188,-71.1191320618
MASS-1787,42.3862407097,-71.1191136665
MASS-1779,42.3860197913,-71.1191528637
MASS-1781,42.3860576463,-71.1191488972
