the_geom,SRC_DATE,SPACE_ID,EditDate,Editor,SHAPE_area,SHAPE_len
"MULTIPOLYGON (((-71.11999667137783 42.3803052914865, -71.12000368457817 42.3802468659981, -71.12003317115999 42.380248829354926, -71.12002615815157 42.38030722740496, -71.11999667137783 42.3803052914865)))",1995,MASS-1612,,,170.93615,58.73894606
"MULTIPOLYGON (((-71.12000368457817 42.3802468659981, -71.12001093186798 42.38018643811186, -71.12004049623593 42.38018777058813, -71.12003317115999 42.380248829354926, -71.12000368457817 42.3802468659981)))",1995,MASS-1610,,,177.77365,60.44924698
"MULTIPOLYGON (((-71.12001093186798 42.38018643811186, -71.12001097102248 42.38018608151231, -71.12001428300286 42.38014613881718, -71.12001599912462 42.38012539932894, -71.1200455632992 42.38012675924407, -71.12004384718716 42.38014749873273, -71.12004049656566 42.380187715707876, -71.12004049623593 42.38018777058813, -71.12001093186798 42.38018643811186)))",1995,MASS-1608,,,178.2903,60.56839848
"MULTIPOLYGON (((-71.119528462397 42.38241695047861, -71.11955802746735 42.38241833795841, -71.11955440709491 42.38246025532927, -71.11955429127039 42.38246105072565, -71.11955278076397 42.38247218664237, -71.11952329464621 42.382469976202344, -71.11952484217008 42.38245884040839, -71.119528462397 42.38241695047861)))",1995,MASS-1677,2012,JP,156.2873,55.06497865
"MULTIPOLYGON (((-71.119528462397 42.38241695047861, -71.11953307528522 42.38236386803772, -71.11956264016577 42.38236528295651, -71.11955802746735 42.38241833795841, -71.119528462397 42.38241695047861)))",1995,MASS-1675,2012,JP,155.11755,54.76771224
"MULTIPOLYGON (((-71.11953307528522 42.38236386803772, -71.1195353414948 42.38233786177704, -71.11953989579492 42.38230066728928, -71.11956938315494 42.38230265820414, -71.1195648677002 42.382339550974066, -71.11956264016577 42.38236528295651, -71.11953307528522 42.38236386803772)))",1995,MASS-1673,2012,JP,184.04015,62.0083514
"MULTIPOLYGON (((-71.11953989579492 42.38230066728928, -71.11954219376037 42.38228168594467, -71.11954632143758 42.38224772804451, -71.11957580877312 42.38224971895777, -71.1195716812767 42.38228364941882, -71.11956938315494 42.38230265820414, -71.11953989579492 42.38230066728928)))",1995,MASS-1671,2012,JP,154.95125,54.74043132
"MULTIPOLYGON (((-71.11946932635412 42.38296257722252, -71.11949881451591 42.38296448583481, -71.11949319624246 42.38301240609693, -71.11946370789336 42.38301052492336, -71.11946932635412 42.38296257722252)))",1995,MASS-1695,,,140.21895,51.0622027
"MULTIPOLYGON (((-71.11946932635412 42.38296257722252, -71.11947190161672 42.38294057832596, -71.11947624415961 42.38290168182389, -71.11950576996625 42.382903480796394, -71.11950142727629 42.38294240473962, -71.11950138976833 42.382942486937594, -71.11949881451591 42.38296448583481, -71.11946932635412 42.38296257722252)))",1995,MASS-1693,,,178.3679,60.58390191
"MULTIPOLYGON (((-71.11947624415961 42.38290168182389, -71.11948281414327 42.382843227493, -71.11951230274512 42.38284505378155, -71.11950576996625 42.382903480796394, -71.11947624415961 42.38290168182389)))",1995,MASS-1691,,,170.95425,58.74039651
"MULTIPOLYGON (((-71.11948281414327 42.382843227493, -71.11948876103767 42.38278990250498, -71.11948975999242 42.38277766727132, -71.11951928557643 42.38277949368049, -71.11951832661173 42.38279123511465, -71.11951828662738 42.38279172891442, -71.11951230274512 42.38284505378155, -71.11948281414327 42.382843227493)))",1995,MASS-1689,,,191.74285,63.93314183
"MULTIPOLYGON (((-71.11948975999242 42.38277766727132, -71.1194947532743 42.38271673806339, -71.11952431881427 42.38271807067151, -71.11951928557643 42.38277949368049, -71.11948975999242 42.38277766727132)))",1995,MASS-1687,,,178.7432,60.67806494
"MULTIPOLYGON (((-71.1194947532743 42.38271673806339, -71.11949790874743 42.382678276683315, -71.11949974605122 42.382655891174764, -71.11952927422024 42.38265727853949, -71.1195274742695 42.38267960929066, -71.11952431881427 42.38271807067151, -71.1194947532743 42.38271673806339)))",1995,MASS-1685,,,177.66235,60.40635511
"MULTIPOLYGON (((-71.119333327083 42.38420046953458, -71.11933994424612 42.38413422223747, -71.11936947161536 42.38413585660374, -71.11936285448307 42.38420210390254, -71.119333327083 42.38420046953458)))",1995,MASS-1733,,,193.6578,64.4159785
"MULTIPOLYGON (((-71.11932874117119 42.3842613177414, -71.11933277585861 42.38420595584249, -71.119333327083 42.38420046953458, -71.11936285448307 42.38420210390254, -71.11936234159599 42.38420737081212, -71.11935830842096 42.38426248575108, -71.11932874117119 42.3842613177414)))",1995,MASS-1735,,,177.03445,60.24806192
"MULTIPOLYGON (((-71.11932874117119 42.3842613177414, -71.11935830842096 42.38426248575108, -71.11935358968478 42.384326955685324, -71.11935351103288 42.38432772376355, -71.11935343320694 42.38432835464119, -71.11932390541779 42.384326775151074, -71.11932402257015 42.3843257602344, -71.11932874117119 42.3842613177414)))",1995,MASS-1737,,,191.71755,63.92878521
"MULTIPOLYGON (((-71.11923926722605 42.38506223393149, -71.11924605726054 42.38501033868622, -71.1192469986301 42.38500153335178, -71.11927648641431 42.38500366154101, -71.11927558454083 42.38501205539659, -71.11927554504882 42.38501246687572, -71.1192687550383 42.385064362122684, -71.11923926722605 42.38506223393149)))",1995,MASS-1755,,,177.84675,60.44800527
