Intersecti,Intersec_1,the_geom,NodeNumber,TurnRestri,P_X,P_Y,Street1,Street2,EditDate,created_us,created_da,last_edite,last_edi_1,GlobalID
Berkeley St & Hastings Ave,2,POINT (-71.12509359380888 42.37805308122815),775,,757464.7,2963014.78,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{015F820E-B21A-490D-B919-743E6CBACB9A}
Lawn Ct & Lawn St & May St,3,POINT (-71.15396730073495 42.378119487953164),777,,749663.1,2963006.01,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{FFA13B70-5320-4E05-8022-31C18A9A3EDB}
Lawn Ct & Lawn St & May St,3,POINT (-71.153902446795 42.37811484747673),778,,749680.63,2963004.39,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{4073192D-F1CF-4F83-B4E5-1646DC59EB42}
Kirkland St & Myrtle Ave,2,POINT (-71.10782758644444 42.37796700689523),779,,762130.01,2963004.39,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{5EE6D7D5-9CC1-4F61-BA6D-42D6C59C2638}
High St & Park Ave,2,POINT (-71.14878077876872 42.378090406994374),781,,751064.51,2963001.14,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{66D51AB9-965E-4A19-83EB-E92992A527D0}
Kirkland St & Roberts Rd,2,POINT (-71.10805985191902 42.37791522203658),783,,762067.34,2962985.23,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{7FC2BD28-8C00-4777-85DA-DFEE5EDA97E7}
High St & Holworthy St,2,POINT (-71.15080590638607 42.37805203563579),784,,750517.39,2962984.91,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{3847E0BC-4A3D-415F-9372-56B2255503DC}
Locust St & Locust Ter,2,POINT (-71.15163629542518 42.378054553172745),785,,750293.02,2962984.91,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{46CB3DC6-4CEF-4897-99CA-2E5F930C06C5}
Gracewood Pk & Lexington Ave,2,POINT (-71.14034385053566 42.37801000742725),786,,753344.24,2962981.34,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{8549C0B9-5472-4904-9EB7-48939354570B}
Kirkland St & Holden St,2,POINT (-71.10814650186704 42.37789592454562),787,,762043.96,2962978.09,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{C4BFCF20-E06B-4528-9415-24A3785679B8}
Craigie St & Sparks St,2,POINT (-71.13018007217694 42.37792965236054),790,,756090.56,2962963.8,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{C5CC5BF8-4365-446E-B88E-EB0ED9509B19}
Cushing St & Locust St,2,POINT (-71.15209808665972 42.37799179437229),791,,750168.34,2962961.53,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{E6A7CD73-0658-4B83-985E-ACEAEFC643E9}
Massachusetts Ave & Waterhouse St,2,POINT (-71.12064706826187 42.37787010108523),793,,758666.42,2962953.41,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{A020C0AB-F03D-425F-94DD-44EFECC0FFA1}
Follen St & Waterhouse St,2,POINT (-71.12097173475262 42.377837309406665),794,,758578.75,2962941.07,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{F64A55AF-BD3C-47A8-8C40-41D9725C1E69}
Larchwood Dr & Meadow Way,2,POINT (-71.14593369285208 42.377908830982356),795,,751834.05,2962938.15,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{5523CCC3-430E-4865-9B38-2150A77BED9C}
Brattle St & Sparks St,2,POINT (-71.13016735460593 42.37784498441103),796,,756094.13,2962932.96,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{36C6DF28-04DD-4C6E-9161-94BC0FB7DA79}
Cushing St & Lawn St,2,POINT (-71.15205460853265 42.37781524692097),803,,750180.35,2962897.24,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{DDD2619B-B45D-4600-A417-850A49D27E30}
Massachusetts Ave & Waterhouse St,2,POINT (-71.12016620871825 42.377701016411095),804,,758796.62,2962892.37,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{576B30F1-B793-47D5-BD38-C2D9ECFDC4DB}
Hastings Ave & St Johns Rd,2,POINT (-71.12552222598529 42.377713224872835),805,,757349.43,2962890.42,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{50595E78-1B61-424C-BB77-F94306F8605F}
Kirkland St & Trowbridge St,2,POINT (-71.10939314199737 42.37762929680738),806,,761707.57,2962879.38,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{6C85D2B4-002D-444E-95B6-F0E8477A769E}
Berkeley St & Garden St,2,POINT (-71.1231647978526 42.3776547341787),808,,757986.49,2962871.91,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{778524E9-78F3-403A-A49C-7F471E4CCC46}
